query,intent
Do you have parking available at the north side office? Ref GEN-01621,general_query
Where is your north side office located exactly? Ref GEN-02023,general_query
Please book me for therapy session at the north side office this Tuesday. Ref BOO-01927,booking
What is the price for consultation at the west end studio? Ref PRI-01005,pricing
What should I bring for my first facial? Ref GEN-02955,general_query
I need to reschedule my massage from Saturday to Friday. Ref RES-01557,reschedule
Need this cancelled immediately: manicure 10 June asap.,cancellation
I need to arrange chiropractic session on 14 June at next Monday near Glenelg.,booking
I have to cancel my appointment due to a conflict this Tuesday. Ref CAN-00373,cancellation
"quick one, Can you tell me the cost of a mobile beauty in Richmond?",pricing
Can you book me for manicure before 9am? I'm in Geelong. Ref #10598.,booking
I need to void the session on 9 July at tonight. #can-1476,cancellation
What should I bring for my first therapy session? Ref GEN-02769,general_query
Please help me reschedule my booking to 5:00 PM instead of 11:00 AM. Ref RES-03348,reschedule
Do you have parking available at the downtown branch? Ref GEN-00506,general_query
Is there a surcharge in Richmond and what's the total usually,pricing
Can you put me down for me for cleaning before 9am? I'm in Adelaide CBD.,booking
I have to cancel my appointment due to a conflict this Wednesday. Ref CAN-02641,cancellation
"Tomorrow evening booking for mobile beauty at Geelong, can this be done?",booking
Where is your downtown branch located exactly? Ref GEN-02711,general_query
Do I need to arrive early for a hair styling? Ref GEN-00946,general_query
What should I bring for my first nail appointment? Ref GEN-00279,general_query
Please help me reschedule my booking to 9:30 AM instead of 1:00 PM. Ref RES-01638,reschedule
Please help me reschedule my booking to 9:30 AM instead of 9:30 AM. Ref RES-01004,reschedule
"end of lease cleaning booking for 28 June, Sunday evening, Glenelg.",booking
I need to reschedule my consultation from Wednesday to Thursday. Ref RES-03817,reschedule
Book two people for hair styling on 10 June around this afternoon in Richmond.,booking
What should I bring for my first nail appointment? Ref GEN-04170,general_query
I want to change my massage appointment to next Sunday. Ref RES-03219,reschedule
Please help me reschedule my booking to 9:30 AM instead of 5:00 PM. Ref RES-01972,reschedule
I have to cancel my appointment due to a conflict this Tuesday. Ref CAN-00408,cancellation
Can I get pricing for manicure at home in Perth CBD?,pricing
Please delete booking ID 8111.,cancellation
Is there a surcharge in Brisbane City and what's the total usually?,pricing
What's your cancellation policy for hair styling bookings? #can-2473,general_query
"I want to reschedule instead of cancel, but if not possible delete it. #can-2683",reschedule
Are there package discounts for multiple consultation sessions? Ref PRI-01354,pricing
Kindly cancel my reservation for February 26 at 11:00 AM. Ref CAN-01302,cancellation
Could you reschedule my reservation at the north side office to 1:00 PM? Ref RES-00550,reschedule
Book two people for cleaning on 22 May around around 6pm in Canberra City.,booking
pls What is the prce for a massage in Geelong ??,pricing
I need to reserve physio session on 12 May at this afternoon near Melbourne CBD.,booking
"physio session booking for 28 June, tonight, Bondi.",booking
Please help me reschedule my booking to 6:30 PM instead of 8:00 AM. Ref RES-01841,reschedule
could you pricing on a deep tissue massage in Geelong?,pricing
What are your operating hours on Sunday? Ref GEN-02696,general_query
What should I bring for my first therapy session? Ref GEN-01626,general_query
Can we move my remedial massage appointment to before 9am at Glenelg? Ref #11967.,reschedule
Take me off the facial slot on 20 June lunchtime.,cancellation
Any extra fee for remedial massage in Geelong? #pri-2200,pricing
Please stop booking ID 7044.,cancellation
Do prices change for evening bookings like next Tuesday afternoon? #pri-1405,pricing
What are your operating hours on Thursday? Ref GEN-02270,general_query
I need an appointment for nail appointment on April 18 at 8:00 AM. Ref BOO-02110,booking
"I might book later, just need a quote for facial first. #pri-2375",pricing
Can you reserve me for remedial massage around 7:30pm? I'm in Fremantle.,booking
"Before I confirm, what would manicure cost for two people? #pri-2874",pricing
What are your operating hours on Saturday? Ref GEN-01157,general_query
Do you have parking available at the downtown branch? Ref GEN-04138,general_query
Can you void my booking for massage tomorrow in Sydney CBD?,cancellation
price? facial Ref inquiry 10401.,pricing
I need to reschedule my therapy session from Saturday to Tuesday. Ref RES-02715,reschedule
"facial booking for 20 June, Sunday evening, Gold Coast.",booking
I need to cancel my nail appointment appointment on January 17. Ref CAN-00318,cancellation
I want to book a nail appointment on Sunday at 8:00 AM. Ref BOO-01938,booking
delete my deep tissue massage appointment for next Tuesday afternoon in Canberra City.,cancellation
I need to reschedule my consultation from Friday to Thursday. Ref RES-02220,reschedule
"immediately, void my hair styling appt for 2nite in Richmond.",cancellation
Please cancel my booking for Monday at 6:30 PM. Ref CAN-00074,cancellation
Please book me for massage at the west end studio this Thursday. Ref BOO-01794,booking
Do I need to arrive early for a therapy session? Ref GEN-03768,general_query
Could you reschedule my reservation at the downtown branch to 5:00 PM? Ref RES-02969,reschedule
I need to organize mobile beauty on 3 July at around 6pm near Wollongong.,booking
Take me off the chiropractic session slot on 28 June after work.,cancellation
Please book me for therapy session at the west end studio this Monday. Ref BOO-00336,booking
"I want to reschedule instead of cancel, but if not possible cancel it. #can-401",reschedule
could you arrange a end of lease cleaning for lunchtime in Fortitude Valley,booking
Can we move my hair styling appointment to Friday night at Perth CBD?,reschedule
Are there package discounts for multiple massage sessions? Ref PRI-01149,pricing
I want to book a facial on Friday at 8:00 AM. Ref BOO-01462,booking
Book two people for relaxation massage on 5 June around before 9am in Geelong.,booking
I have to cancel my appointment due to a conflict this Thursday. Ref CAN-02217,cancellation
Please cancel my booking for Thursday at 11:00 AM. Ref CAN-01565,cancellation
"Before I confirm, what would spring cleaning cost for two people? Ref inquiry 10227.",pricing
"I want to reschedule instead of cancel, but if not possible remove it. #can-1625",reschedule
How much for chiropractic session next Tuesday afternoon? #pri-1540,pricing
Can you share your pricing for a nail appointment on May 1? Ref PRI-01025,pricing
I want to change my consultation appointment to next Monday. Ref RES-03684,reschedule
What should I bring for my first nail appointment? Ref GEN-00106,general_query
Any extra fee for hair styling in Bondi?,pricing
Can I get pricing for carpet cleaning at home in Bondi ??,pricing
"cleaning booking for 5 June, Friday night, Parramatta.",booking
Could you reschedule my reservation at the downtown branch to 9:30 AM? Ref RES-03985,reschedule
I need to stop the session on 5 June at Saturday morning.,cancellation
Any extra fee for manicure in Adelaide CBD? #pri-1600,pricing
"Cancel booking for tonight, can't make it. #can-2684",cancellation
Can you share your pricing for a consultation on February 5? Ref PRI-01152,pricing
I want to change my therapy session appointment to next Wednesday. Ref RES-04010,reschedule
Do I need to arrive early for a nail appointment? Ref GEN-02837,general_query
"Tomorrow evening booking for manicure at Sydney CBD, can this be done",booking
Where is your downtown branch located exactly? Ref GEN-01214,general_query
Where is your west end studio located exactly? Ref GEN-04063,general_query
Do you have parking available at the city center location? Ref GEN-03498,general_query
Are there package discounts for multiple therapy session sessions? Ref PRI-00809,pricing
Please help me reschedule my booking to 6:30 PM instead of 8:00 AM. Ref RES-02678,reschedule
I need to void the session on 22 May at around 6pm.,cancellation
"If I call off tomorrow's booking, what happens to payment? #can-2339",general_query
How much for end of lease cleaning Friday night? #pri-2242,pricing
I have to cancel my appointment due to a conflict this Friday. Ref CAN-02517,cancellation
Can you share your pricing for a nail appointment on August 20? Ref PRI-00393,pricing
Kindly cancel my reservation for April 9 at 8:00 AM. Ref CAN-01479,cancellation
Reschedule my existing booking to 15 July next Monday in Bondi.,reschedule
Need this cancelled immediately: relaxation massage 5 June tomorrow evening.,cancellation
"Before I confirm, what would deep tissue massage cost for two people? #pri-836",pricing
Do I need to arrive early for a nail appointment? Ref GEN-04062,general_query
Do you charge extra for weekend nail appointment bookings? Ref PRI-00664,pricing
"I want to reschedule instead of cancel, but if not possible cancel out it. #can-1399",reschedule
Can you reserve me for facial after work? I'm in Bondi.,booking
Could you reschedule my reservation at the city center location to 1:00 PM? Ref RES-00676,reschedule
Are there package discounts for multiple facial sessions? Ref PRI-00678,pricing
I #pri-707,pricing
What is the price for hair styling at the north side office? Ref PRI-00127,pricing
"Cancel booking for 2nite, can't make it. #can-1174",cancellation
I need to reschedule my massage from Friday to Friday. Ref RES-03956,reschedule
I need to cancel my hair styling appointment on May 19. Ref CAN-02453,cancellation
Can I get pricing for facial at home in Parramatta? #pri-2431,pricing
What are your operating hours on Wednesday? Ref GEN-03271,general_query
Take me off the hair styling slot on 20 June around 6pm.,cancellation
"Tomorrow evening booking for mobile beauty at Bondi, can this be done? #boo-2909",booking
Please cancel my booking for Monday at 11:00 AM. Ref CAN-00595,cancellation
Could you reschedule my reservation at the downtown branch to 9:30 AM? Ref RES-01441,reschedule
"Tomorrow evening booking for massage at Fortitude Valley, can this be done? #boo-2406",booking
"I want to reschedule instead of cancel, but if not possible delete it. #can-1349",reschedule
Need this cancelled immediately: end of lease cleaning 10 June around 6pm.,cancellation
Can I get pricing for massage at home in Fortitude Valley?,pricing
Any extra fee for facial in Sydney CBD? #pri-3068,pricing
What are your operating hours on Thursday? Ref GEN-02868,general_query
Kindly cancel my reservation for November 10 at 5:00 PM. Ref CAN-01928,cancellation
Is there a surcharge in Sydney CBD and what's the total usually? #pri-3114,pricing
I need to arrange relaxation massage on 12 May at Friday night near Parramatta.,booking
cancel policy? #can-3306,general_query
"Before I confirm, what would facial cost for two people? #pri-1556",pricing
I need to cancel my consultation appointment on November 7. Ref CAN-02236,cancellation
Please help me reschedule my booking to 5:00 PM instead of 9:30 AM. Ref RES-02190,reschedule
"Cancel booking for tonight, can't make it. #can-3027",cancellation
Can I move my appointment on December 6 to March 20? Ref RES-03698,reschedule
What are your operating hours on Saturday? Ref GEN-00408,general_query
Could you reschedule my reservation at the west end studio to 3:30 PM? Ref RES-00802,reschedule
Please cancel my booking for Wednesday at 1:00 PM. Ref CAN-00651,cancellation
"Before I confirm, what would massage cost for two people? #pri-3053",pricing
Please cancel my booking for Sunday at 1:00 PM. Ref CAN-00696,cancellation
ok proceed for the mobile beauty slot tomorrow evening in Fortitude Valley. Ref #12592.,booking
Can you share your pricing for a hair styling on September 25? Ref PRI-00032,pricing
Please book me for massage at the city center location this Monday. Ref BOO-01175,booking
Do you have parking available at the west end studio? Ref GEN-02220,general_query
Can you cancel my scheduled facial at the city center location? Ref CAN-01165,cancellation
Can you clarify your refund and cancellation rules? #can-2964,general_query
Help me reserve a slot for a consultation next Wednesday morning. Ref BOO-00132,booking
What is the price for nail appointment at the west end studio? Ref PRI-01513,pricing
"I want to reschedule instead of cancel, but if not possible remove it. #can-3283",reschedule
I need to arrange relaxation massage on 3 July at tonight near Melbourne CBD.,booking
I want to change my massage appointment to next Friday. Ref RES-00693,reschedule
What's your cancellation policy for facial bookings? #can-3159,general_query
Can I move my appointment on February 28 to January 8? Ref RES-01418,reschedule
Can you void my bokking for chiropractic session tomorrow in Wollongong?,cancellation
What should I bring for my first nail appointment? Ref GEN-03569,general_query
Please cancel my booking for Monday at 11:00 AM. Ref CAN-00875,cancellation
go ahead for the relaxation massage slot tonight in Richmond.,booking
What are your operating hours on Friday? Ref GEN-03737,general_query
Are there package discounts for multiple facial sessions? Ref PRI-00939,pricing
I need to cancel my consultation appointment on March 21. Ref CAN-00662,cancellation
What is the price for consultation at the north side office? Ref PRI-00087,pricing
Where is your city center location located exactly? Ref GEN-02280,general_query
Are there package discounts for multiple massage sessions? Ref PRI-00740,pricing
Need a therapist at home in Bondi for facial around 7:30pm.,booking
Can you clarify your refund and cancellation rules? #can-1435,general_query
Please help me reschedule my booking to 8:00 AM instead of 6:30 PM. Ref RES-02289,reschedule
I need to reschedule my massage from Wednesday to Friday. Ref RES-03967,reschedule
How much does a 90 minutes nail appointment cost? Ref PRI-01424,pricing
What should I bring for my first consultation? Ref GEN-03454,general_query
I need to delete the session on 15 July at asap. #can-483,cancellation
"I might book later, #pri-2308",pricing
Can I move my appointment on January 15 to February 13? Ref RES-00370,reschedule
What are your operating hours on Thursday? Ref GEN-03653,general_query
pricing on a physio session in Wollongong?,pricing
Do you have parking available at the downtown branch? Ref GEN-02737,general_query
What should I bring for my first nail appointment? Ref GEN-03610,general_query
I need to book hair styling on 3 July at Friday night near Adelaide CBD.,booking
Do prices change for evening bookings like tmrw morning?,pricing
Need a therapist at home in Fremantle for chiropractic session around 7:30pm.,booking
"nah cancel that, call off that appointment.",cancellation
Can I move my appointment on November 10 to February 3? Ref RES-00533,reschedule
Do I need to arrive early for a therapy session? Ref GEN-04173,general_query
Can you cancel my scheduled facial at the city center location? Ref CAN-01557,cancellation
Could you reschedule my reservation at the downtown branch to 11:00 AM? Ref RES-01591,reschedule
I have to cancel my appointment due to a conflict this Thursday. Ref CAN-00826,cancellation
I need to reschedule my nail appointment from Wednesday to Thursday. Ref RES-03568,reschedule
Reschedule my existing booking to 18 May around 6pm in Melbourne CBD.,reschedule
Help me reserve a slot for a nail appointment next Wednesday morning. Ref BOO-02076,booking
Book two people for manicure on 9 July around tonight in Brisbane City.,booking
What should I bring for my first nail appointment? Ref GEN-01571,general_query
do #can-1659,cancellation
Do I need to arrive early for a facial? Ref GEN-03982,general_query
What are your operating hours on Wednesday? Ref GEN-01325,general_query
price? hair styling #pri-2420,pricing
"I might book later, just need a quote for spring cleaning first. #pri-914",pricing
"Cancel booking for tonight, can't make it. #can-328",cancellation
price? hair styling #pri-1343,pricing
Need this cancelled immediately: massage 5 June Saturday morning.,cancellation
Can you put me down for me for relaxation massage around 6pm? I'm in Melbourne CBD.,booking
What should I bring for my first facial? Ref GEN-00099,general_query
Are there package discounts for multiple nail appointment sessions? Ref PRI-00407,pricing
"do that now, cancel that appointment.",cancellation
Can I get pricing for facial at home in Bondi ??,pricing
Can you cancel my scheduled consultation at the north side office? Ref CAN-00132,cancellation
I want to change my facial appointment to next Saturday. Ref RES-03657,reschedule
Tomorrow evening booking for massage at Adelaide CBD,booking
Where is your north side office located exactly? Ref GEN-00136,general_query
Can you lock in me for waxing before 9am? I'm in Richmond.,booking
How much for relaxation massage after work?,pricing
I want to change my facial appointment to next Saturday. Ref RES-01780,reschedule
What are your rates for remedial massage on weekends ?? #pri-2687,pricing
Need this cancelled immediately: deep tissue massage 22 May this afternoon.,cancellation
"If I call off tomorrow's booking, what happens to payment? #can-3273",general_query
Can I move my appointment on October 1 to June 24? Ref RES-02320,reschedule
Please book me for consultation at the city center location this Saturday. Ref BOO-01089,booking
Please help me reschedule my booking to 11:00 AM instead of 1:00 PM. Ref RES-00562,reschedule
Where is your west end studio located exactly? Ref GEN-01331,general_query
I need to cancel my consultation appointment on August 1. Ref CAN-00390,cancellation
Do you have parking available at the north side office? Ref GEN-00860,general_query
Could you reschedule my reservation at the north side office to 3:30 PM? Ref RES-03043,reschedule
I need an appointment for therapy session on June 14 at 6:30 PM. Ref BOO-02172,booking
Need a therapist at home in Newcastle for end of lease cleaning lunchtime. Ref #10769.,booking
ok proceed for the manicure slot this afternoon in Fremantle.,booking
Any extra fee for facial in Fremantle?,pricing
Can we move my carpet cleaning appointment to Saturday morning at Sydney CBD?,reschedule
"Cancel booking for tonight, can't make it. #can-230",cancellation
I need to reschedule my massage from Wednesday to Saturday. Ref RES-03422,reschedule
Please cancel my booking for Sunday at 9:30 AM. Ref CAN-00694,cancellation
What is the price for massage at the west end studio? Ref PRI-00789,pricing
I need to cancel my nail appointment appointment on January 25. Ref CAN-01787,cancellation
"I might book later, just need a quote for cleaning first. #pri-2633",pricing
Please help me reschedule my booking to 3:30 PM instead of 5:00 PM. Ref RES-00124,reschedule
Where is your city center location located exactly? Ref GEN-02155,general_query
price? deep tissue massage #pri-1092,pricing
Kindly cancel my reservation for May 2 at 1:00 PM. Ref CAN-01085,cancellation
What should I bring for my first therapy session? Ref GEN-04015,general_query
Can you cancel my scheduled massage at the downtown branch? Ref CAN-01884,cancellation
Can I move my appointment on December 9 to May 2? Ref RES-00916,reschedule
I need to cancel my massage appointment on July 13. Ref CAN-01106,cancellation
Please book me for therapy session at the downtown branch this Monday. Ref BOO-00200,booking
Is there a surcharge #pri-2243,pricing
"I want to reschedule instead of cancel, but if not possible call off it. #can-1126",reschedule
mobile beauty appt in Parramatta after work - cancel out pls.,cancellation
"I want to reschedule instead of cancel, but if not possible cancel it. #can-1781",reschedule
Can you cancel my scheduled facial at the downtown branch? Ref CAN-02466,cancellation
"If I call off tomorrow's booking, what happens to payment? #can-950",general_query
Do prices change for evening bookings like tomorrow evening? #pri-981,pricing
Do you have parking available at the north side office? Ref GEN-01272,general_query
Do I need to arrive early for a therapy session? Ref GEN-01088,general_query
Could you reschedule my reservation at the west end studio to 6:30 PM? Ref RES-02669,reschedule
I need to cancel my therapy session appointment on May 14. Ref CAN-02477,cancellation
Please book me for facial at the north side office this Tuesday. Ref BOO-01934,booking
I have to cancel my appointment due to a conflict this Wednesday. Ref CAN-01698,cancellation
Book two people for carpet cleaning on 12 May around tonight in Gold Coast.,booking
Please book me for hair styling at the downtown branch this Monday. Ref BOO-01851,booking
I need an appointment for massage on December 19 at 5:00 PM. Ref BOO-01975,booking
Do you charge extra for weekend therapy session bookings? Ref PRI-00763,pricing
Can I get pricing for chiropractic session at home in Fremantle?,pricing
What are your operating hours on Friday? Ref GEN-03805,general_query
ok proceed for the spring cleaning slot tonight in Melbourne CBD.,booking
I need to remove the session on 18 May at next Monday.,cancellation
Reschedule my existing booking to 28 June asap in Canberra City.,reschedule
Do prices change for evening bookings like this afternoon? #pri-2589,pricing
I want to change my therapy session appointment to next Saturday. Ref RES-04085,reschedule
Do you have parking available at the north side office? Ref GEN-00503,general_query
What are your operating hours on Tuesday? Ref GEN-00657,general_query
Do I need to arrive early for a massage? Ref GEN-02455,general_query
What should I bring for my first facial? Ref GEN-02652,general_query
Can we move my remedial massage appointment to around 7:30pm at Melbourne CBD?,reschedule
Any extra fee for hair styling in Adelaide CBD,pricing
I need an appointment for massage on February 19 at 6:30 PM. Ref BOO-01320,booking
Please help me reschedule my booking to 8:00 AM instead of 8:00 AM. Ref RES-03587,reschedule
What are your operating hours on Saturday? Ref GEN-00119,general_query
Where is your downtown branch located exactly? Ref GEN-01652,general_query
Can you clarify your refund and cancellation rules #can-2514,general_query
What should I bring for my first consultation? Ref GEN-01449,general_query
Do you charge extra for weekend hair styling bookings? Ref PRI-00957,pricing
Where is your city center location located exactly? Ref GEN-02094,general_query
"I might book later, just need a quote for facial first. #pri-2175",pricing
"If I cancel on the same day in Bondi, is there a fee?",general_query
Need this cancelled immediately: relaxation massage 10 June Sunday evening.,cancellation
Can you cancel my scheduled hair styling at the downtown branch? Ref CAN-00348,cancellation
What is the price for nail appointment at the north side office? Ref PRI-00167,pricing
What are your rates for remedial massage on weekends? #pri-1854,pricing
Book two people for chiropractic session on 22 May around tomorrow evening in Melbourne CBD.,booking
Can we move my facial appointment to around 6pm at Richmond?,reschedule
Is there a surcharge in Fortitude Valley and what's the total usually? #pri-1534,pricing
I want to book a consultation on Thursday at 9:30 AM. Ref BOO-00852,booking
Can you share your pricing for a facial on July 4? Ref PRI-00941,pricing
Can you schedule a 1 hour hair styling for December 22? Ref BOO-01110,booking
chiropractic session appt in Brisbane City Sunday evening - remove pls.,cancellation
end of lease cleaning appt in Fortitude Valley around 6pm - stop pls.,cancellation
I need to cancel my consultation appointment on May 4. Ref CAN-01714,cancellation
What are your operating hours on Thursday? Ref GEN-04262,general_query
I need to cancel my therapy session appointment on June 11. Ref CAN-00707,cancellation
Do you have parking available at the downtown branch? Ref GEN-03190,general_query
What are your operating hours on Saturday? Ref GEN-00067,general_query
I want to book a nail appointment on Thursday at 11:00 AM. Ref BOO-01921,booking
"cleaning booking for 5 June, after work, Geelong.",booking
What are your operating hours on Tuesday? Ref GEN-02496,general_query
Where is your west end studio located exactly? Ref GEN-04233,general_query
Any extra fee for mobile beauty in Fremantle?,pricing
"Tomorrow evening booking for cleaning at Geelong, can this be done",booking
I want to change my facial appointment to next Saturday. Ref RES-00127,reschedule
What are your rates for pedicure on weekends? #pri-1446,pricing
Can you cancel my scheduled consultation at the downtown branch? Ref CAN-01782,cancellation
What should I bring for my first consultation? Ref GEN-02163,general_query
Are there package discounts for multiple massage sessions? Ref PRI-01207,pricing
Can I move my appointment on October 19 to October 16? Ref RES-02437,reschedule
What are your operating hours on Monday? Ref GEN-01803,general_query
I need to cancel my massage appointment on July 1. Ref CAN-01971,cancellation
Where is your north side office located exactly? Ref GEN-03191,general_query
Please help me reschedule my booking to 6:30 PM instead of 11:00 AM. Ref RES-02449,reschedule
Can you cancel my scheduled nail appointment at the city center location? Ref CAN-00698,cancellation
What are your operating hours on Sunday? Ref GEN-01203,general_query
I need to organize carpet cleaning on 22 May at before 9am near Fortitude Valley.,booking
What is the price for therapy session at the downtown branch? Ref PRI-00546,pricing
"Tomorrow evening booking for mobile beauty at Adelaide CBD, can this be done?",booking
I need to cancel my consultation appointment on December 13. Ref CAN-02316,cancellation
Need this cancelled immediately: relaxation massage 22 May asap.,cancellation
ok proceed for the end of lease cleaning slot tomorrow morning in Bondi.,booking
I have to cancel my appointment due to a conflict this Monday. Ref CAN-00193,cancellation
Can you schedule a 1 hour hair styling for April 6? Ref BOO-00925,booking
Please help me reschedule my booking to 8:00 AM instead of 8:00 AM. Ref RES-00812,reschedule
I need to reschedule my hair styling from Friday to Saturday. Ref RES-03024,reschedule
remedial massage booking for 22 May,booking
What should I bring for my first nail appointment? Ref GEN-03722,general_query
Is there a surcharge in Gold Coast and what's the total usually?,pricing
cancel policy? #can-1833,general_query
Do you charge extra for weekend hair styling bookings? Ref PRI-00900,pricing
I want to change my nail appointment appointment to next Friday. Ref RES-02353,reschedule
Can you cancel my scheduled consultation at the west end studio? Ref CAN-01889,cancellation
Is cncllation free for first-time users? #can-2999,general_query
I need to cancel my facial appointment on February 5. Ref CAN-00534,cancellation
hair styling appt in Melbourne CBD next Tuesday afternoon - cancel pls.,cancellation
Is there a surcharge in Melbourne CBD and what's the total usually? #pri-3247,pricing
Can I move my appointment on April 24 to February 2? Ref RES-01095,reschedule
relaxation massage appt in Gold Coast around 6pm - void pls.,cancellation
Can we move my remedial massage appointment to tmrw evening at Sydney CBD ??,reschedule
Can I move my appointment on August 24 to October 12? Ref RES-01430,reschedule
I need to schedule hair styling on 1 June at after work near Fortitude Valley.,booking
price? hair styling #pri-2059,pricing
Can you clarify your refund and cancellation rules? #can-1761,general_query
Please help me reschedule my booking to 8:00 AM instead of 1:00 PM. Ref RES-00403,reschedule
Do I get charged if I cancel a pedicure appointment late? #can-3266,general_query
I need to reschedule my nail appointment from Wednesday to Sunday. Ref RES-03523,reschedule
Please #can-1911,cancellation
Can I move my appointment on December 2 to December 2? Ref RES-02087,reschedule
Where is your west end studio located exactly? Ref GEN-01509,general_query
I have to cancel my appointment due to a conflict this Tuesday. Ref CAN-00673,cancellation
"I might book later, just need a quote for mobile beauty first. #pri-1451",pricing
What are your operating hours on Sunday? Ref GEN-02733,general_query
I need an appointment for hair styling on August 4 at 8:00 AM. Ref BOO-00822,booking
I need to cancel my hair styling appointment on February 23. Ref CAN-02424,cancellation
"I might book later, just need a quote for remedial massage first. #pri-3231",pricing
What are your rates for massage on weekends? #pri-1996,pricing
Do you have parking available at the north side office? Ref GEN-01616,general_query
"Before I confirm, what would remedial massage cost for two people? #pri-360",pricing
relaxation massage appt in Sydney CBD tomorrow morning - cancel pls.,cancellation
"ok proceed, remove that appointment.",cancellation
How much for hair styling Friday night?,pricing
Could you reschedule my reservation at the city center location to 11:00 AM? Ref RES-03159,reschedule
"Before I confirm, what would carpet cleaning cost for two people",pricing
Can you schedule a 45 minutes facial for March 4? Ref BOO-00998,booking
Reschedule my existing booking to,reschedule
How much for massage Friday night?,pricing
yes for the mobile beauty slot lunchtime in Sydney CBD.,booking
Is there a surcharge in Canberra City and what's the total usually? #pri-1062,pricing
"Before I confirm, what would relaxation massage cost for two people? #pri-1898",pricing
Can I move my appointment on April 9 to June 12? Ref RES-03842,reschedule
I need to cancel my consultation appointment on June 15. Ref CAN-00917,cancellation
Do I need to arrive early for a hair styling? Ref GEN-01517,general_query
What's your cancellation policy for hair styling bookings? #can-1936,general_query
"deep tissue massage booking for 22 May, asap, Richmond.",booking
"carpet cleaning booking for 1 June, after work, Gold Coast. Ref #11242.",booking
I want to book a massage on Sunday at 3:30 PM. Ref BOO-01986,booking
I might book later #pri-1641,pricing
I want to change my nail appointment appointment to next Saturday. Ref RES-00845,reschedule
Kindly cancel my reservation for February 7 at 3:30 PM. Ref CAN-00394,cancellation
Where is your west end studio located exactly? Ref GEN-03943,general_query
What are your rates for spring cleaning on weekends? #pri-3215,pricing
Please cancel booking ID 8924.,cancellation
Any extra fee for cleaning in Newcastle? #pri-1321,pricing
Reschedule my existing booking to 18 May after work in Geelong.,reschedule
"If I cancel on the same day in Glenelg, is there a fee? #can-416",general_query
Where is your city center location located exactly? Ref GEN-02643,general_query
Please help me reschedule my booking to 6:30 PM instead of 3:30 PM. Ref RES-04003,reschedule
Need a therapist at home in Melbourne CBD for chiropractic session tonight.,booking
Can I get pricing for facial at home in Perth CBD? #pri-2050,pricing
I want to book a nail appointment on Monday at 3:30 PM. Ref BOO-00827,booking
"I want to reschedule instead of cancel, but if not possible delete it. #can-438",reschedule
Please book me for consultation at the west end studio this Friday. Ref BOO-00585,booking
Cancel booking for tonight #can-3296,cancellation
I need an appointment for nail appointment on April 10 at 11:00 AM. Ref BOO-00780,booking
I need to cancel my massage appointment on February 24. Ref CAN-00833,cancellation
Can you schedule a 1 hour nail appointment for January 20? Ref BOO-01630,booking
"Cancel booking for tonight, can't make it. #can-2648",cancellation
Is cancellation free for first-time users? #can-3087,general_query
What is the price for consultation at the west end studio? Ref PRI-00934,pricing
I need to reschedule my nail appointment from Wednesday to Wednesday. Ref RES-02241,reschedule
"Cancel booking for tonight, can't make it. #can-949",cancellation
I have to cancel my appointment due to a conflict this Friday. Ref CAN-01362,cancellation
Could you reschedule my reservation at the downtown branch to 11:00 AM? Ref RES-00272,reschedule
What should I bring for my first hair styling? Ref GEN-03397,general_query
Do you have parking available at the west end studio? Ref GEN-02278,general_query
Do I need to arrive early for a massage? Ref GEN-00297,general_query
What is the price for therapy session at the downtown branch? Ref PRI-00834,pricing
I need to reschedule my facial from Saturday to Monday. Ref RES-01546,reschedule
Reschedule my existing booking to 15 July next Tuesday afternoon in Parramatta.,reschedule
I have to cancel my appointment due to a conflict this Friday. Ref CAN-02285,cancellation
I need to schedule cleaning on 1 June at Friday night near Sydney CBD.,booking
void my spring cleaning appointment,cancellation
Kindly cancel my reservation for June 16 at 5:00 PM. Ref CAN-01672,cancellation
Can you put me down for me for end of lease cleaning after work? I'm in Canberra City.,booking
I need to remove the session on 1 June at tomorrow morning.,cancellation
Book two people for carpet cleaning on 10 June around tmrw evening in Parramatta.,booking
I need to cancel my facial appointment on September 18. Ref CAN-01263,cancellation
Are there package discounts for multiple nail appointment sessions? Ref PRI-01327,pricing
stop my massage appointment for next Tuesday afternoon in Perth CBD.,cancellation
I want to change my massage appointment to next Saturday. Ref RES-02077,reschedule
Do you have parking available at the downtown branch? Ref GEN-01564,general_query
Please cancel my booking for Friday at 11:00 AM. Ref CAN-02519,cancellation
What are your rates for cleaning on weekends? #pri-969,pricing
Need a therapist at home in Bondi for relaxation massage tonight.,booking
I need to reschedule my massage from Friday to Monday. Ref RES-03540,reschedule
Please help me reschedule my booking to 9:30 AM instead of 9:30 AM. Ref RES-01030,reschedule
Can I cancel without penalty if therapist is late? #can-1187,general_query
Can I move my appointment on November 2 to October 28? Ref RES-02231,reschedule
Do prices change for evening bookings like tomorrow evening? #pri-2799,pricing
Is there a surcharge in Adelaide CBD and what's the total usually? #pri-693,pricing
Can I move my appointment on August 5 to April 4? Ref RES-00297,reschedule
What should I bring for my first massage? Ref GEN-02924,general_query
Please book me for facial at the north side office this Friday. Ref BOO-00176,booking
Where is your north side office located exactly? Ref GEN-03547,general_query
"I want to reschedule instead of cancel, but if not possible delete it. #can-1861",reschedule
How much does a 90 minutes facial cost? Ref PRI-00506,pricing
"nah cancel that, call off that appointment. #can-3047",cancellation
I need to cancel my facial appointment on July 10. Ref CAN-00498,cancellation
